,location,lat,lon
0,United States,39.7837304,-100.445882
1,Belgium,50.6402809,4.6667145
2,Peru,-6.8699697,-75.0458515
3,Switzerland,46.7985624,8.2319736
4,France,46.603354,1.8883335
5,China,35.000074,104.999927
6,Egypt,26.2540493,29.2675469
7,Germany,51.1638175,10.4478313
8,Japan,36.5748441,139.2394179
9,Czechia,49.7439047,15.3381061
10,United Kingdom,54.7023545,-3.2765753
11,Unknown,26.492533,92.3308789
12,Canada,61.0666922,-107.991707
13,Sweden,59.6749712,14.5208584
14,Netherlands,,
15,Russian Federation,64.6863136,97.7453061
16,Spain,39.3260685,-4.8379791
17,Greece,,
18,Italy,42.6384261,12.674297
19,Mexico,23.6585116,-102.0077097
20,South Africa,-28.8166236,24.991639
21,Syrian Arab Republic,,
22,India,,
23,Finland,63.2467777,25.9209164
24,Denmark,55.670249,10.3333283
25,"Korea, Republic of",,
26,Indonesia,-2.4833826,117.8902853
27,Türkiye,39.294076,35.2316631
28,Côte d'Ivoire,7.9897371,-5.5679458
29,Nepal,28.3780464,83.9999901
30,Kenya,1.4419683,38.4313975
31,Morocco,28.3347722,-10.3713379
32,Ukraine,49.4871968,31.2718321
33,Ghana,,
34,Austria,47.59397,14.12456
35,Cuba,23.0131338,-80.8328748
36,Nigeria,,
37,"Iran, Islamic Republic of",32.6475314,54.5643516
38,"Palestine, State of",,
39,Norway,61.1529386,8.7876653
40,Australia,-24.7761086,134.755
41,Burkina Faso,12.0753083,-1.6880314
42,Portugal,39.6621648,-8.1353519
43,Argentina,-34.9964963,-64.9672817
44,Georgia,42.3154,43.3569
45,Colombia,4.099917,-72.9088133
46,Viet Nam,15.9266657,107.9650855
47,Ecuador,-1.3397668,-79.3666965
48,Hungary,,
49,Guatemala,15.5855545,-90.345759
50,Myanmar,17.1750495,95.9999652
51,Ireland,52.865196,-7.9794599
52,"Venezuela, Bolivarian Republic of",8.0018709,-66.1109318
53,Bangladesh,24.4769288,90.2934413
54,Mauritania,20.2540382,-9.2399263
55,Israel,30.8124247,34.8594762
56,Thailand,14.8971921,100.83273
57,Philippines,12.7503486,122.7312101
58,Poland,,
59,Brazil,-10.3333333,-53.2
60,Uruguay,,
61,Serbia,44.0243229,21.0765743
62,Uzbekistan,41.32373,63.9528098
63,Iraq,33.0955793,44.1749775
64,Mali,16.3700359,-2.2900239
65,Lebanon,33.8750629,35.843409
66,Chile,-31.7613365,-71.3187697
67,Panama,8.559559,-81.1308434
68,Pakistan,30.3308401,71.247499
69,Ethiopia,,
70,Sri Lanka,7.5554942,80.7137847
71,Slovakia,48.7411522,19.4528646
72,Cameroon,4.6125522,13.1535811
73,"Taiwan, Province of China",,
74,Iceland,64.9841821,-18.1059013
75,Cambodia,12.5433216,104.8144914
76,Senegal,14.4750607,-14.4529612
77,"Tanzania, United Republic of",,
78,Jamaica,18.1850507,-77.3947693
79,Latvia,56.8406494,24.7537645
