Selection,Source,RetrievalDate,Source Url,Title,Artist,Url,Culture,Date,Technique,Dimensions,Acc Num,View,Credit Line,Collections,Classification,Description,Provenance
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/34926/pallas-athena-venus-and-juno?ctx=e75771e2-be2a-4432-b3fd-64d1699c4021&idx=0,"Pallas Athena, Venus and Juno",Hans von Aachen,https://collections.mfa.org/objects/34926/pallas-athena-venus-and-juno,German,1593,Oil on canvas,54 x 67 cm (21 1/4 x 26 3/8 in.),1988.345,ON VIEW,Juliana Cheney Edwards Collection,Europe,Paintings,"Paris, prince of Troy, was made to choose the most beautiful among three goddesses, here identifiable by their attributes: Pallas Athena with her helmet, Venus, the winner, holding the golden apple, and Juno, with the crescent moon at her head. Such a painting required a sophisticated viewer to decipher its subject without narrative context. It was probably commissioned by a member of Rudolph II's court at Prague, where Hans von Aachen was named court painter in 1592. Rudolph II was known as a great supporter of the arts and the creator of Europe's most extensive Kunstkammer.","1872, Durnovo Family, Moscow, 1872, given by the Durnovo family to the Tretyakov Gallery, Moscow, subsequently returned to the Durovno family. 1918, in Vienna. 1922, in New York. Subsequently in Asuncion, Paraguay [see note 1]. 1930, acquired by the Gebrath family, 1930 until 1988, by descent within the Gebrath family, Buenos Aires and Rio de Janeiro, 1988, sold by the Gebrath family to the MFA. (Accession Date: September 28, 1988);NOTES;[1] The provenance information comes from Rüdiger an der Heiden, ""Zu neu aufgefundenen Gemälden Hans von Aachens,"" Pantheon 32, no. 3 (1974): p. 249."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/34467/fishermen-and-their-families-on-the-shore-of-the-bay-of-napl?ctx=28719f83-c28d-4bc7-b096-9838ea0b554f&idx=0,Fishermen and their Families on the Shore of the Bay of Naples,Ivan Konstantinovich Aivazovsky,https://collections.mfa.org/objects/34467/fishermen-and-their-families-on-the-shore-of-the-bay-of-napl,,1873,Oil on canvas,133.4 x 171.1 cm (52 1/2 x 67 3/8 in.),1981.509,NOT ON VIEW,"Gift of Katharine H. Putnam, by exchange",Europe,Paintings,,"November 27, 1981, anonymous sale, Christie's, London, lot 202, to the MFA. (Accession Date: December 9, 1981)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/34550/holy-family-with-angels?ctx=61890406-c412-4f80-a45b-476ebb8972a7&idx=0,Holy Family with Angels,Francesco Albani,https://collections.mfa.org/objects/34550/holy-family-with-angels,,1608–10,Oil on copper,36.2 x 27.3 cm (14 1/4 x 10 3/4 in.),1983.250,NOT ON VIEW,Gift of Mr. and Mrs. John W. Haverty in memory of John Cardinal Wright and Henry H. and Zoe Oliver Sherman Fund,Europe,Paintings,"Trained by Annibale Carracci in Bologna, Albani accompanied his master to Rome, where he helped establish the new Baroque style. Compressed within a shallow pictorial space, the solemn figures, animated by twisting drapery, have the bulk and monumentality of sculpture. Small, precious paintings on copper, with their smooth surfaces and delicate brushwork, were much in demand among private collectors.","By 1965, de Corbiac family, Lembras, France;from the heirs of Louis Durand de Corbiac (1872-1965) to John Cardinal Wright, Rome;1979, bequeathed to his sister and brother-in-law, Mr. and Mrs. John Havery, Boston;1983, from Haverty to the MFA. (Accession Date: June 15, 1983)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33388/italian-hills?ctx=c38209ff-4aa5-4cac-950b-c1fbec7284bb&idx=0,Italian Hills,Claude Félix Théodore Caruelle d' Aligny,https://collections.mfa.org/objects/33388/italian-hills,,about 1826–27,Oil on paper mounted on canvas,Overall: 41.2 x 68.9cm (16 1/4 x 27 1/8in.),49.1730,NOT ON VIEW,Seth K. Sweetser Fund,Europe,Paintings,,"By the early 1940s, anonymous dealer, Paris, sold by anonymous dealer to the Melander Shakespeare Society, Santa Barbara, Calif. [see note 1], consigned by Melander Shakespeare Society to Parke-Bernet Galleries, New York, 1949, sold by Parke-Bernet at Plaza Auction Room, New York, and bought by Julius H. Weitzner, London and New York [see note 2], 1949, sold by Weitzner to the MFA for $350. (Accession Date: December 8, 1949);Notes;[1] According to a letter of February 25, 1950 from Rudolph Holzapfel of the Melander Shakespeare Society to W. G. Constable of the MFA in curatorial file, this work was purchased in Paris by the Society ""eight to ten years ago"" by a dealer who did not supply any data about the painting. [2] According to a letter of January 5, 1950, from Weitzner to W. G. Constable in curatorial file."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33905/figure-studies?ctx=46616773-7369-4715-8325-fe6ab0bb57c8&idx=0,Figure Studies,Attributed to: Sir Lawrence Alma-Tadema,https://collections.mfa.org/objects/33905/figure-studies,,,Oil on panel,20.6 x 15.3 cm (8 1/8 x 6 in.),65.434,NOT ON VIEW,Bequest of Mrs. Edward Jackson Holmes,Europe,Paintings,,"By 1965 Mrs. Edward Jackson Holmes (Mary Stacy Beaman) (b. 1875), Boston, MA;1965, bequest of Mrs. Edward Jackson Holmes. (Accession Date: April 14, 1965)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32674/promise-of-spring?ctx=4efc6104-5b71-44eb-ac3c-05113d64ce64&idx=0,Promise of Spring,Sir Lawrence Alma-Tadema,https://collections.mfa.org/objects/32674/promise-of-spring,,1890,Oil on panel,38.1 x 22.5 cm (15 x 8 7/8 in.),RES.39.94,NOT ON VIEW,Bequest of Frances M. Baker,Europe,Paintings,"Alma-Tadema's later works are often small-scale, sentimental images of young lovers. In Promise of Spring, he created a highly romanticized and lush setting through the use of color and detail. The arched branches and intricate blooms of the tree meet the curved bodies of the lovers below. This movement frames the outward gaze of the female figure, whose pose exudes a relaxed beauty. The painting also presents such subtle, classicizing details as the marble architectural elements and the ancient dress.","By 1910, with Arthur Tooth and Sons (?), London, England, Paris, France, and New York, NY [see note 1]. By 1939, Frances M. Baker, Boston, MA, 1939, bequest of Frances M. Baker to the MFA. (Accession Date: November 9, 1939);NOTES;[1] see Dircks, Rudolf, ""The Later Works of Sir L. Alma-Tadema,"" (1910), p 14, where lists ""by permission of Messrs. Arthur Tooth and Sons."" Tooth had another painting titled ""The Voice of Spring,"" in stock 1910, but its dimensions were 19 1/4"" x 45 3/4""."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32766/woman-and-flowers?ctx=65415f4b-c683-4310-b173-2ebc10504765&idx=0,Woman and Flowers,Sir Lawrence Alma-Tadema,https://collections.mfa.org/objects/32766/woman-and-flowers,,1868,Oil on panel,49.8 x 37.2 cm (19 5/8 x 14 5/8 in.),41.117,ON VIEW,Gift of Edward Jackson Holmes,Europe,Paintings,"In many paintings, Alma-Tadema infused the stylistic elements of northern European scenes of daily life with the contemporary Victorian interest in classical antiquity (the artist kept 168 volumes of photographs of Greek and Roman antiquities). Here, Alma-Tadema depicted a woman in classical dress leaning on a Pompeian bronze table, the model for which is now in the archaeological museum in Naples. The artist's detailed treatment of flowers, jewelry, and textiles helps to create a sensuous and highly exotic mood.","By 1872, Thomas Wigglesworth (b. 1814 - d. 1906 or 1907), Boston [see note 1], by descent to his niece, Henrietta Goddard Wigglesworth (Mrs. W. Scott Fitz) (b. 1847 - d. 1927), Boston, by descent to her son, Edward Jackson Holmes (b. 1873 - d. 1950), Boston, 1941, gift of Edward Jackson Holmes to the MFA. (Accession Date: March 13, 1941);NOTES;[1] He first lent the painting to the Boston Athenaeum in 1872 (""The Roman Lady,"" cat. no. 158)."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32647/bowl-of-pears-bread-and-a-glass-on-a-table?ctx=3922869a-f1d8-455b-bdaa-59e521c63bf1&idx=0,"Bowl of Pears, Bread, and a Glass on a Table",Albert André,https://collections.mfa.org/objects/32647/bowl-of-pears-bread-and-a-glass-on-a-table,,,Oil on canvas,42.9 x 55.5 cm (16 7/8 x 21 7/8 in.),38.778,NOT ON VIEW,Anonymous gift,Europe,Paintings,"Colleague and friend of many progressive French artists in the late nineteenth and early twentieth centuries, André published books on the work of Renoir, Manet, and Degas, and painted several portraits of Renoir. André’s own work reflects the impact of many of his illustrious contemporaries: the setting of this painting suggests the intimate, focused interior spaces of Edouard Vuillard, and Cézanne’s influence can be seen in the faceting of the glass and the short brushstrokes that describe and model the pears.","1921, purchased in Paris by Durand-Ruel, Paris and New York (stock no. 10303) [see note 1], 1921, sold by Durand-Ruel to Mrs. Sarah Choate Sears (b. 1858 - d. 1935), Boston, by 1937, by descent from Mrs. Sears to anonymous donor, 1938, anonymous gift to the MFA. (Accession Date: May 11, 1938);NOTES;[1] According to notes in the MFA curatorial files, this information was probably supplied by Durand-Ruel."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33246/woman-at-tea?ctx=e86804ce-b304-410a-8d70-b59725bdc8f6&idx=0,Woman at Tea,Albert André,https://collections.mfa.org/objects/33246/woman-at-tea,,,Oil on paper mounted on canvas,50.8 x 59.4 cm (20 x 23 3/8 in.),48.517,NOT ON VIEW,Bequest of John T. Spaulding,Europe,Paintings,,"By 1918, Durand-Ruel, Paris and New York [see note 1], 1922, sold by Durand-Ruel, New York, to John Taylor Spaulding, Boston, MA (d. 1948), 1948, bequest of Spaulding. (Accession Date: June 3, 1948);NOTES;[1] the picture was first exhibited by Durand-Ruel, New York, in 1918."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/35488/virgin-and-child?ctx=678cd993-bb36-488c-ad4f-15e60070db31&idx=0,Virgin and Child,Andrea del Sarto,https://collections.mfa.org/objects/35488/virgin-and-child,,about 1509–10,Oil on panel,82.5 x 65.4 cm (32 1/2 x 25 3/4 in.),1993.43,ON VIEW,Bequest of William A. Coolidge,Europe,Paintings,"Andrea del Sarto’s serene paintings often combine crisp draperies with blurred contours of facial features, limbs, and hands. Sarto—so named for his father’s profession as a sarto, or tailor—taught many of the brightest talents in Florence, including Rosso Fiorentino. But he also absorbed contemporary influences. This early work seems to be based on a specific Virgin and Child painting, now lost, by the slightly older Raphael.","By 1827, possibly Joseph Strutt (b. 1765 - d. 1844), Derby, England [see note 1], by 1878, Edward Strutt, 1st Baron Belper (b. 1801 - d. 1880), Kingston Hall, Nottinghamshire [see note 2], by descent within the Strutt family, probably to Alexander Ronald Strutt (b. 1912 - d. 1999), 4th Baron Belper [see note 3], 1960, sold from the Lord Belper collection to Agnew's, London (stock no. 32592), July 19, 1971, sold by Agnew's to William A. Coolidge (b. 1901 - d. 1992), Topsfield and Cambridge, MA, 1993, bequest of William A. Coolidge to the MFA. (Accession Date: January 27, 1993);NOTES;[1] This may be the ""Madonna and Child"" by Andrea del Sarto that is listed in the 1827 inventory of Joseph Strutt of Derby (no. 55). There was an auction of paintings from his collection in 1889, but nothing by Andrea del Sarto was included.;[2] In 1878, Lord Belper lent a painting of the Virgin and Child by Andrea del Sarto to the Nottingham Castle Museum, where it was cat. no. 49 (the number ""48"" is inscribed, perhaps mistakenly, on the verso of the MFA painting). In 1881, a Virgin and Child was likewise recorded in the collection of Lord Belper at Kingston Hall, see Leonard Jacks, The Great Houses of Nottinghamshire (1881), pp. 67-68, who suggested that it was among the pictures purchased by Edward Strutt (nephew of Joseph Strutt) from the Duke d'Alberg. Edward Strutt did acquire paintings that can be identified in the Duke d'Alberg collection sale of 1817, the only Andrea del Sarto painting of the Virgin and Child auctioned at that time, however, also included St. John and three angels.;[3] According to information provided by Agnew's, London, this painting was acquired from Lord Belper. At the time it was sold to William Coolidge, it was said to come from an English private collection formed in the mid-nineteenth century."
