,raw_name,lookup
0,afghanistan,<manual review>
1,afghanistan,afghanistan
2,afghanistan,tajikistan
3,alamania,<manual review>
4,alamania,kazakhstan
5,alamania,panama
6,algeria,<manual review>
7,algeria,algeria
8,algeria,morocco
9,arabia,<manual review>
10,arabia,saudi arabia
11,arabia,morocco
12,armenia,<manual review>
13,armenia,armenia
14,armenia,azerbaijan
15,austria,<manual review>
16,austria,austria
17,austria,hungary
18,azerbaijan,<manual review>
19,azerbaijan,azerbaijan
20,azerbaijan,armenia
21,belgium,<manual review>
22,belgium,belgium
23,belgium,netherlands
24,borneo,<manual review>
25,borneo,indonesia
26,borneo,malaysia
27,bulgaria,<manual review>
28,bulgaria,bulgaria
29,bulgaria,romania
30,byzantine egypt,egypt
31,byzantine egypt,lebanon
32,canada,<manual review>
33,canada,canada
34,canada,australia
35,central italy,<manual review>
36,central italy,italy
37,central italy,slovenia
38,chile,<manual review>
39,chile,chile
40,chile,paraguay
41,china,<manual review>
42,china,china
43,china,japan
44,colombia,<manual review>
45,colombia,colombia
46,colombia,ecuador
47,colombia or ecuador,<manual review>
48,colombia or ecuador,ecuador
49,colombia or ecuador,colombia
50,costa rica,<manual review>
51,costa rica,costa rica
52,costa rica,panama
53,costa rica or panama,<manual review>
54,costa rica or panama,costa rica
55,costa rica or panama,panama
56,czech republic,<manual review>
57,czech republic,czechia
58,czech republic,slovakia
59,democratic republic of the congo,<manual review>
60,democratic republic of the congo,"congo, the democratic republic of the"
61,democratic republic of the congo,congo
62,dominican republic,<manual review>
63,dominican republic,dominican republic
64,dominican republic,dominica
65,ecuador,<manual review>
66,ecuador,ecuador
67,ecuador,paraguay
68,egypt,<manual review>
69,egypt,egypt
70,egypt,algeria
71,egypt and sudan,<manual review>
72,egypt and sudan,sudan
73,egypt and sudan,egypt
74,egypt or iraq,<manual review>
75,egypt or iraq,egypt
76,egypt or iraq,iraq
77,egypt or syria,<manual review>
78,egypt or syria,egypt
79,egypt or syria,syrian arab republic
80,england,<manual review>
81,england,germany
82,england,brazil
83,ethiopia,<manual review>
84,ethiopia,ethiopia
85,ethiopia,eritrea
86,france,<manual review>
87,france,france
88,france,germany
89,france or germany,<manual review>
90,france or germany,france
91,france or germany,germany
92,french,<manual review>
93,french,france
94,french,french polynesia
95,gabon,<manual review>
96,gabon,gabon
97,gabon,uganda
98,gaul,<manual review>
99,gaul,bulgaria
100,gaul,france
101,germany,<manual review>
102,germany,germany
103,germany,brazil
104,ghana,<manual review>
105,ghana,ghana
106,ghana,south africa
107,greece,<manual review>
108,greece,greece
109,greece,cyprus
110,guatemala,<manual review>
111,guatemala,guatemala
112,guatemala,belize
113,guatemala or mexico,<manual review>
114,guatemala or mexico,guatemala
115,guatemala or mexico,mexico
116,guyana,<manual review>
117,guyana,guyana
118,guyana,french guiana
119,honduras,<manual review>
120,honduras,honduras
121,honduras,nicaragua
122,hungary,<manual review>
123,hungary,hungary
124,hungary,serbia
125,india,<manual review>
126,india,india
127,india,pakistan
128,india or iran,<manual review>
129,india or iran,india
130,india or iran,pakistan
131,indonesia,<manual review>
132,indonesia,indonesia
133,indonesia,malaysia
134,iran,<manual review>
135,iran,"iran, islamic republic of"
136,iran,israel
137,iran (persia),<manual review>
138,iran (persia),"iran, islamic republic of"
139,iran (persia),turkmenistan
140,iran or central asia,<manual review>
141,iran or central asia,"iran, islamic republic of"
142,iran or central asia,turkmenistan
143,iran or iraq,<manual review>
144,iran or iraq,iraq
145,iran or iraq,saudi arabia
146,iran or present-day uzbekistan,<manual review>
147,iran or present-day uzbekistan,uzbekistan
148,iran or present-day uzbekistan,"iran, islamic republic of"
149,iran or turkey,<manual review>
150,iran or turkey,"iran, islamic republic of"
151,iran or turkey,saudi arabia
152,iraq,<manual review>
153,iraq,iraq
154,iraq,afghanistan
155,iraq or syria,<manual review>
156,iraq or syria,iraq
157,iraq or syria,syrian arab republic
158,ireland,<manual review>
159,ireland,ireland
160,ireland,iceland
161,italy,<manual review>
162,italy,italy
163,italy,germany
164,japan,<manual review>
165,japan,japan
166,japan,china
167,kenya,<manual review>
168,kenya,kenya
169,kenya,uganda
170,korea,<manual review>
171,korea,"korea, republic of"
172,korea,japan
173,madagascar,<manual review>
174,madagascar,madagascar
175,madagascar,malawi
176,mali,<manual review>
177,mali,mali
178,mali,uganda
179,mexico,<manual review>
180,mexico,mexico
181,mexico,guatemala
182,morocco,<manual review>
183,morocco,morocco
184,morocco,tunisia
185,mozambique,<manual review>
186,mozambique,mozambique
187,mozambique,cameroon
188,netherlands,<manual review>
189,netherlands,netherlands
190,netherlands,belgium
191,new zealand,<manual review>
192,new zealand,new zealand
193,new zealand,australia
194,nigeria,<manual review>
195,nigeria,nigeria
196,nigeria,niger
197,north netherlands,<manual review>
198,north netherlands,netherlands
199,north netherlands,norway
200,northern france,<manual review>
201,northern france,france
202,northern france,french southern territories
203,northwestern iran or baghdad,<manual review>
204,northwestern iran or baghdad,"iran, islamic republic of"
205,northwestern iran or baghdad,bahrain
206,nubia (sudan),<manual review>
207,nubia (sudan),sudan
208,nubia (sudan),south sudan
209,palestine,<manual review>
210,palestine,"palestine, state of"
211,palestine,israel
212,panama,<manual review>
213,panama,panama
214,panama,honduras
215,papua new guinea,<manual review>
216,papua new guinea,papua new guinea
217,papua new guinea,guinea
218,peru,<manual review>
219,peru,peru
220,peru,chile
221,philippines,<manual review>
222,philippines,philippines
223,philippines,indonesia
224,portugal,<manual review>
225,portugal,portugal
226,portugal,brazil
227,present-day afghanistan,afghanistan
228,present-day afghanistan,tajikistan
229,present-day azerbaijan,azerbaijan
230,present-day azerbaijan,armenia
231,present-day france,france
232,present-day france,french southern territories
233,present-day greece,<manual review>
234,present-day greece,greece
235,present-day greece,north macedonia
236,present-day pakistan,pakistan
237,present-day pakistan,"iran, islamic republic of"
238,present-day uzbekistan,uzbekistan
239,present-day uzbekistan,turkmenistan
240,russia,<manual review>
241,russia,kazakhstan
242,russia,ukraine
243,saudi arabia,<manual review>
244,saudi arabia,saudi arabia
245,saudi arabia,pakistan
246,scotland,<manual review>
247,scotland,ireland
248,scotland,united kingdom
249,solomon islands,<manual review>
250,solomon islands,solomon islands
251,solomon islands,fiji
252,south africa,<manual review>
253,south africa,south africa
254,south africa,zimbabwe
255,south netherlands,<manual review>
256,south netherlands,netherlands
257,south netherlands,belgium
258,spain,<manual review>
259,spain,spain
260,spain,portugal
261,switzerland,switzerland
262,switzerland,germany
263,syria,<manual review>
264,syria,syrian arab republic
265,syria,lebanon
266,thailand,<manual review>
267,thailand,thailand
268,thailand,cambodia
269,turkey,<manual review>
270,turkey,türkiye
271,turkey,cyprus
272,turkmenistan,turkmenistan
273,turkmenistan,uzbekistan
274,uganda,<manual review>
275,uganda,uganda
276,uganda,malawi
277,united kingdom,<manual review>
278,united kingdom,united kingdom
279,united kingdom,united states
280,united states,united states
281,united states,canada
282,vanuatu,<manual review>
283,vanuatu,vanuatu
284,vanuatu,fiji
285,western turkmenistan,turkmenistan
286,western turkmenistan,uzbekistan
287,yemen,<manual review>
288,yemen,yemen
289,yemen,lebanon
