,raw_name,lookup,lat,lon,count
0,afghanistan,afghanistan,33.7680065,66.2385139,50.0
1,alamania,germany,51.1638175,10.4478313,478.0
2,algeria,algeria,28.0000272,2.9999825,10.0
3,arabia,arabia,22.3742506,49.4770891,3.0
4,armenia,armenia,40.7696272,44.6736646,3.0
5,austria,austria,47.59397,14.12456,63.0
6,azerbaijan,azerbaijan,40.3936294,47.7872508,5.0
7,belgium,belgium,50.6402809,4.6667145,14.0
8,borneo,borneo,1.4297828,114.7410413,2.0
9,bulgaria,bulgaria,42.6073975,25.4856617,4.0
10,byzantine egypt,egypt,26.2540493,29.2675469,10936.0
11,canada,canada,61.0666922,-107.991707,47.0
12,central italy,italy,42.6384261,12.674297,255.0
13,chile,chile,-31.7613365,-71.3187697,12.0
14,china,china,35.000074,104.999927,243.0
15,colombia,colombia,4.099917,-72.9088133,203.0
16,colombia or ecuador,colombia,4.099917,-72.9088133,203.0
17,colombia or ecuador,ecuador,-1.3397668,-79.3666965,104.0
18,costa rica,costa rica,10.2735633,-84.0739102,129.0
20,czech republic,czech republic,49.7439047,15.3381061,33.0
21,democratic republic of the congo,democratic republic of the congo,-2.9814344,23.8222636,16.0
22,dominican republic,dominican republic,19.0974031,-70.3028026,34.0
23,ecuador,ecuador,-1.3397668,-79.3666965,104.0
24,egypt,egypt,26.2540493,29.2675469,10936.0
25,egypt and sudan,egypt and sudan,31.1987972,29.9025828,10.0
27,egypt or syria,egypt,26.2540493,29.2675469,10936.0
28,egypt or syria,syria,34.8147886,38.4231781,451.0
29,england,united kingdom,54.7023545,-3.2765753,563.0
30,ethiopia,ethiopia,10.2116702,38.6521203,16.0
31,france,france,46.603354,1.8883335,807.0
33,french,french,46.603354,1.8883335,2.0
34,gabon,gabon,-0.8999695,11.6899699,4.0
35,gaul,germany,51.1638175,10.4478313,478.0
36,germany,germany,51.1638175,10.4478313,478.0
37,ghana,ghana,8.0300284,-1.0800271,22.0
38,greece,greece,38.9953683,21.9877132,7.0
39,guatemala,guatemala,15.5855545,-90.345759,47.0
41,guyana,guyana,4.8417097,-58.6416891,4.0
42,honduras,honduras,15.2572432,-86.0755145,3.0
43,hungary,hungary,47.1817585,19.5060937,8.0
44,india,india,22.3511148,78.6677428,482.0
46,indonesia,indonesia,-2.4833826,117.8902853,29.0
47,iran,iran,32.6475314,54.5643516,3100.0
48,iran (persia),iran (persia),32.6475314,54.5643516,2.0
53,iraq,iraq,33.0955793,44.1749775,201.0
55,ireland,ireland,52.865196,-7.9794599,18.0
56,italy,italy,42.6384261,12.674297,255.0
57,japan,japan,36.5748441,139.2394179,40.0
58,kenya,kenya,1.4419683,38.4313975,2.0
59,korea,korea,36.638392,127.6961188,3.0
60,madagascar,madagascar,-18.9249604,46.4416422,1.0
61,mali,mali,16.3700359,-2.2900239,55.0
62,mexico,mexico,23.6585116,-102.0077097,912.0
63,morocco,morocco,28.3347722,-10.3713379,31.0
64,mozambique,mozambique,-19.302233,34.9144977,1.0
65,netherlands,netherlands,52.2434979,5.6343227,74.0
66,new zealand,new zealand,-41.5000831,172.8344077,9.0
67,nigeria,nigeria,9.6000359,7.9999721,115.0
68,north netherlands,netherlands,52.2434979,5.6343227,74.0
69,northern france,france,46.603354,1.8883335,807.0
71,nubia (sudan),nubia (sudan),20.0,32.0,14.0
72,palestine,palestine,31.9522,35.2332,38.0
73,panama,panama,8.559559,-81.1308434,72.0
74,papua new guinea,papua new guinea,-5.6816069,144.2489081,12.0
75,peru,peru,-6.8699697,-75.0458515,1965.0
76,philippines,philippines,12.7503486,122.7312101,15.0
77,portugal,portugal,39.6621648,-8.1353519,4.0
78,present-day afghanistan,afghanistan,33.7680065,66.2385139,50.0
84,russia,russia,64.6863136,97.7453061,9.0
85,saudi arabia,saudi arabia,25.6242618,42.3528328,62.0
86,scotland,united kingdom,54.7023545,-3.2765753,563.0
87,solomon islands,solomon islands,-8.7053941,159.1070694,9.0
88,south africa,south africa,-28.8166236,24.991639,3.0
89,netherlands,netherlands,52.2434979,5.6343227,74.0
90,spain,spain,39.3260685,-4.8379791,232.0
91,switzerland,switzerland,46.7985624,8.2319736,20.0
92,syria,syria,34.8147886,38.4231781,451.0
93,thailand,thailand,14.8971921,100.83273,9.0
94,turkey,turkey,39.294076,35.2316631,388.0
95,turkmenistan,turkmenistan,39.3763807,59.3924609,8.0
96,uganda,uganda,1.5333554,32.2166578,1.0
97,united kingdom,united kingdom,54.7023545,-3.2765753,563.0
98,united states,united states of america,39.7837304,-100.445882,2894.0
99,vanuatu,vanuatu,-16.5255069,168.1069154,4.0
100,western turkmenistan,turkmenistan,39.3763807,59.3924609,8.0
101,yemen,yemen,16.3471243,47.8915271,13.0
